_id,question.text.fa
9800,"اگر پسر و دخترى بخواهند از طريق ازدواج موقّت با همديگر رابطه‌ى شرعى داشته باشند، در صورت‌هاى زير چه شرايطى معتبر است؟

) اگر رابطه صرفا رابطه‌ى متعارف شغلى يا تحصيلى باشد؟

) اگر رابطه صرفا به خاطر استمتاع، جنسى بدون دخول باشد؟

) اگر رابطه به خاطر آميزش جنسى (دخول) باشد؟"
9801,اگر شخصى دختربچّه‌ى خود را که قابل تمتّع نيست، به مدّت کوتاهى به منظور محرم شدن مادر آن بچّه به داماد، به عقد انقطاعى وى درآورد، آيا مادر آن بچّه به آن  شخص محرم مى‌شود؟
9802,ازدواج موقت چه شرايطى دارد؟ آيا برقرارى رابطه با نامحرم به اين نيّت که در آينده با هم ازدواج کنيم جايز است؟
9803,آيا ازدواج موقت که موجب از بين رفتن بکارت مى‌شود، به ضرر دختر نيست؟
9804,آيا در ازدواج موقت نفقه زن بر مرد واجب است؟
9805,آيا در ازدواج موقت نيز مادر زن بر داماد حرمت دايمى پيدا مى‌کند؟
9806,فرق صيغه عقد موقت و زنا چيست و آيا مرد خودش مى‌تواند عقد را جارى کند؟
9807,حکم وکيل گرفتن و خواندن صيغه در عقد موقت چيست؟
9808,زن و مردى که صيغه شده‌اند، چه حقوقى نسبت به هم دارند؟
9809,فردى قبل از ازدواج دايم، ازدواج موقّت کرده است و توافقى که روى مهريّه عقد دايم شده بود را سهوا مهريّه عقد موقّت قرار داده‌اند، تکليف چيست؟
9810,در عقد موقّتِ صغير، آيا ولىّ يا قيّم وى مى‌تواند بذل مدّت به زوجه نمايد؟
9811,در عقد ازدواج موقّت، آيا شرط نفقه نافذ است؟
9812,بين زوجين اختلاف شده و زوجه مى‌گويد عقد، دايم بوده و زوج و عاقد مى‌گويد موقّت بوده است. قول کدام يک مقدّم است؟
9813,آيا انسان بدون وجود شاهدى مى‌تواند صيغه عقد موقت را بخواند؟ در صورت مواجه شدن با نيروهاى انتظامى چگونه بايد جواب دهد؟
9814,کم‌ترين و بيشترين زمان ازدواج موقت چه قدر است؟
9815,در عقد موقت اگر هنوز مدت تمام نشده باشد مى‌توان مدت را تمديد کرد، يا اين که آن را به عقد دايم تبديل کرد؟
9816,مردى زنى را به اين صورت فريب داده که به او گفته من تو را به نکاح دايم خود درمى‌آورم، ولى شرط نکاح دايم اين است که اوّل تو را به عقد موقّت درآورم. او را بدون تعيين مهر به عقد موقّت درآورده، با رضايت زن، و پس از آن، از او ازاله‌ى بکارت کرده و مبلغى را به او داده و او را رها کرده است. آيا اين عقد صحيح است؟ حکم قضيه را بيان فرماييد.
9817,اگر در ازدواج موقت از روى فراموشى و يا به علت جهل نسبت به مسأله، ذکر مدّت انجام نشود، حکم آن چيست؟
9818,عدّه‌ى زنى که حيض مى‌شود ـ در ازدواج موقت ـ دو حيض است. حال اگر زن بعد از انقضاى مدت بلافاصله حيض شود و پس از انقضاى حيض و پاک شدن و فاصله شدن کم‌ترين زمان پاکى که ١٠ روز است با خوردن قرص حيض شود ـ که مجموع مدّت عدّه مثلاً ٢٠ روز مى‌شود ـ آيا مى‌تواند شوهر کند؟
9819,در عدّه‌ى رجعيّه فردى عيال قبلى خود را متعه مى‌کند. آيا متعه صحيح است؟ و آيا عمل او رجوع محسوب مى‌شود؟
9820,اگر در عقد متعه مدّت ذکر شود ولى مجهول باشد، مثل بازگشت فلان مسافر از سفر، آيا متعه باطل است يا به دايم منقلب مى‌شود؟
