_id,content,category
121767,آیا درباره کار‌هایی مانند خرید و فروش و اجاره می‌توان شخص کافری را به وکالت انتخاب کرد؟,احکام و فقه
121768,آیا شخص سفیه یا مُفلِس (ورشکست) می‌تواند در امور مالی خود وکیل بگیرد؟,احکام و فقه
121769,وکالت به چه معناست؟,احکام و فقه
121770,آیا کودک می‌تواند وکیل بگیرد و یا وکیل باشد؟,احکام و فقه
122487,اگر مادری به دلیل ناخوشی و بی حالی ناشی از بیماری کرونا قادر به شیردهی به کودک خود نیست، چه باید کرد؟ چطور می توان احتمال انتقال ویروس کرونا به شیرخوار را کاهش داد؟,احکام و فقه
122492,مبنای نظری ممنوعیت مواد مخدر در آموزه های اسلامی چیست و دلایل تحریم و مخالفت های شدید با مواد مخدر در اسلام را بیان کنید.,احکام و فقه
122690,اگر با باز گذاشتن درب مسجد، احتمال تلف شدن اموال مسجد داده شود آیا متولی می‌تواند از ورود اشخاص به مسجد جلوگیری کند؟,احکام و فقه
122691,بستن درب مساجد در قسمتی از وقت ادای نماز با یقین به وجود نمازگزاران در آن وقت یا احتمال آن، چه حکمی دارد؟,احکام و فقه
122692,نماز خواندن در مساجد اهل تسنن و با جماعت آن‌ها چه حکمی دارد؟,احکام و فقه
122693,آیا اهل کتاب و مشرکان می‌توانند وارد مسجد شود؟,احکام و فقه
122694,آیا عزاداران اباعبدالله الحسین علیه‌السلام با کفش می‌توانند، وارد مسجد شوند؟ آیا تعزیه‌خوانی در مسجد که با پوشیدن چکمه و دیگر ادوات جنگی همراه می‌باشد، جایز است؟,احکام و فقه
122695,کشیدن سیگار در مسجد با این‌که بیماری‌هایی را به همراه دارد و باعث ناراحتی و آزار مؤمنین نمازگزار می‌شود و هوای مسجد را آلوده می‌کند چه حکمی دارد؟,احکام و فقه
122696,آیا شخصی که موقع اقامۀ جماعت در مسجد خوابیده را می‌شود بیدار کرد؟,احکام و فقه
122697,"الف) برخی نمازگزاران اموال شخصی خود را مثل سجاده و صندلی و... داخل مسجد می‌گذارند. آیا متولی مسجد می‌تواند بنابرمصالحی - اگرچه صرفاً مصلحت نظم باشد- این اقدام را ممنوع کند؟ 
ب) آیا می‌تواند در صورتی که به نهی او ترتیب اثر ندهند با هشدار قبلی اموال را جمع آوری کرده و بیرون مسجد بگذارد؟",احکام و فقه
122698,آیا ممانعت از بعضی کارها مثل خوابیدن، غذا خوردن، مطالعه کردن در مسجد مشروع است؟,احکام و فقه
122699,خوابیدن در مسجد چه حکمی دارد؟,احکام و فقه
122701,هیأتی در یکی از مساجد تأسیس شده و کلیۀ امور مسجد را بر عهده گرفته؛ آیا نصب تابلویی به نام هیأت، جهت مشخص نمودن مکان هیأت در دیوار یا جلوی مسجد جایز است؟,احکام و فقه
122702,امام جماعتی که متولی مسجد است، می‌تواند وصیت کند پس از او شخص خاصی امامت جماعت مسجد را عهده دار باشد؟,احکام و فقه
122703,گاهی برای مخارج مسجد از نمازگزاران پول جمع می‌شود، برخی آن پول‌ها را که پول خرد هستند با پول درشت تعویض می‌نمایند، این امر صحیح است یا خیر؟,احکام و فقه
122705,وظایف ضامن در قبال پرداخت بدهی چیست؟,احکام و فقه
122706,آیا می‌توان مثلاً وجوهات مربوط به ساخت مساجد را به‌عنوان قرض در راه خیری صرف کرد و بعد جایگزین نمود؟,احکام و فقه
122707,آیا افرادی که چند سال مبالغی را به‌عنوان کمک یا نذری به حسینیه داده‌اند، می‌توانند وجه خود را پس بگیرند؟,احکام و فقه
122708,گاهی مردم وسایلی همانند سماور و یا روسری برای مسجد نذر می‌کنند که مسجد نیازی به آن‌ها ندارد، آیا می‌توان آن‌ها را فروخت و صرف مسجد کرد؟,احکام و فقه
122709,حکم پخش اذان و مناجات با بلندگوی مسجد، درصورتی‌که همسایگان اعلام نارضایتی می‌کنند چیست؟,احکام و فقه
122710,زمانی که مردم در حال استراحت هستند، پخش اذان با بلندگو چه حکمی دارد؟,احکام و فقه
122711,آیا آذین بستن داخل مسجد و استفاده از لامپ‌ها و کاغذهای رنگی برای اعیاد و موالید ائمه علیهم‌ السلام جایز است؟,احکام و فقه
122712,بلندی صدای بلندگوی مسجد تا چه اندازه جایز است؟,احکام و فقه
122713,آیا قرار دادن تابلوهای اعلانات در مساجد جایز است؟,احکام و فقه
122714,نصب تصاویر شهدا و عکس‌ های منسوب به ائمۀ اطهار علیهم‌ا لسلام در مساجد چگونه است؟ و آیا اثری در قبولی و ثواب نماز دارد؟,احکام و فقه
122716,آیا اجرای شبیه‌خوانی و عزاداری حضرت اباعبدالله الحسین علیه‌السلام در مسجد ‌که مانع از برگزاری نماز جماعت یا نماز فرادای عده‌ای از مردم شود، جایز است؟,احکام و فقه
122719,چند سال پیش با دست نجس به آبدارخانۀ مسجد وارد شده و با همان دست که مقدار کمی تر بود به نیمکت چوبی آبدارخانه دست زدم و آن‌جا را تمیز نکردم؛ در چنین شرایطی تکلیف بنده چیست؟,احکام و فقه
122720,در روستایی به خاطر ندانستن مسأله، توالت را در خود زمین مسجد ساخته‌اند وچاه تخلیۀ آن هم در زمین خود مسجد است تکلیف چیست؟,احکام و فقه
122721,آیا نمایش فیلم سینمایی و برگزاری تئاتر در مساجد جایز است؟,احکام و فقه
122722,آیا لوازم مسجد همچون منبر مسجد در حرمت نجس نمودن و لزوم تطهیر فوری، مانند مسجد است؟,احکام و فقه
122723,اخیرا پدیده‌ای به نام مساجد سیار پیدا شده که ماشین‌های متحرکی برای اقامۀ نماز هستند، آیا می‌شود آنجا را وقف مسجد کرد و آیا در این صورت احکام مسجد را دارد؟,احکام و فقه
122724,آیا می‌شود با کفش یا پای نجس به قسمتی از حیاط مسجد که آسفالت است وارد شد؟,احکام و فقه
122725,ساختن گنبد و گل‌دسته برای مساجد و حسینیه‌ها -که امروزه به‌عنوان نمادهای مذهبی برای این مکان‌ها شمرده می‌شود- در شرع مقدّس چه حکمی دارد؟,احکام و فقه
122726,ساخت مسجد با هزینه‌های گزاف چه حکمی دارد؟,احکام و فقه
122727,یکی از مکان‌هایی که در آن نماز خواندن مکروه است جایی است که انسانی روبروی نمازگزار باشد. حال برای رفع کراهت در حرم‌ها و مساجدی که در آن‌جا رفت آمد زیاد است چه باید کرد؟,احکام و فقه
122728,آیا می‌شود بعد از غسل در همان حمام نماز خود را بخوانیم؟,احکام و فقه
122729,آیا خواندن نماز در آشپزخانه جایز است؟,احکام و فقه
122730,نماز خواندن در مقابل وسایل آتشی مانند بخاری چه حکمی دارد؟,احکام و فقه
122731,آیا نماز در خانه‌ای که عکس یا مجسمۀ انسان و حیوان دارد ولی پشت سر نمازگزار قرار گرفته است هم کراهت دارد؟,احکام و فقه
122732,آیا نماز خواندن در مقابل آینه کراهت دارد؟,احکام و فقه
122733,آیا نماز در مقابل عکس مسجدالحرام و حرم ائمه علیهم‌ السلام صحیح است؟,احکام و فقه
122734,اگر در خانه حیوانات خشک شده‌ای باشد می‌توان رو به روی آن‌ها نماز خواند؟,احکام و فقه
122735,آیا نماز خواندن بر روی فرشی که تصویر گیاهان و یا جان‌داران بر آن نقش بسته، اشکال دارد؟,احکام و فقه
120712,برهنه شدن و سینه زدن شدید در مراسم عزای امام حسین(علیه السلام) چه حکمی دارد؟,احکام و فقه
120723,آیا این مطلب صحیح است که در روز عاشورا انسان نباید برای خودش دعا کند؟,احکام و فقه
122362,مهریه ی خانمی دورکعت نماز هدیه به امام زمان(عج) به صورت روزانه و مادام العمر می باشد که همسرش باید ادا کند، آیا واجب بودن این نماز، به خاطر اینکه مهریه عند المطالبه هست می باشد و اینکه مانند نمازهای یومیه واجب می شود؟,احکام و فقه
122363,آیا می توان هدیه دادن قرآن به مسجد یا بخشیدن 5 میلیون تومان برای برگزاری روضه ی ائمه ی معصومین عیهم السلام هر سال سه روز یا زیارت جمکران سالی یکبار و امثال آن، را بعنوان مهریه قرار داد؟,احکام و فقه
122366,اگر مردی بمیرد و همسرش بعد از نماز میت مهر خود را حلال کند، اما بعد از چند ماه مطالبه نماید، حکم آن چیست؟,احکام و فقه
